precipitation,temp_max,temp_min,wind,weather
0.0,12.8,6.1,4.3,sun
4.8,14.4,6.7,3.8,rain
1.3,10.6,7.2,5.9,rain
27.4,10.0,6.1,4.4,rain
5.6,9.4,5.0,4.7,rain
13.2,10.0,2.8,3.4,rain
1.5,8.9,4.4,6.8,rain
0.0,16.7,4.4,3.1,sun
1.5,11.7,3.3,3.1,rain
0.0,10.6,2.8,2.1,sun
4.6,9.4,2.8,1.8,rain
0.3,11.1,3.3,2.6,rain
0.0,16.1,1.7,4.3,sun
0.0,21.1,7.2,4.1,sun
0.0,20.0,6.1,2.1,sun
0.0,17.8,8.9,3.2,sun
2.3,11.1,7.2,2.6,rain
0.5,13.9,5.6,2.6,rain
0.0,15.0,3.9,4.0,sun
0.0,15.6,3.3,3.0,sun
0.0,16.1,7.2,2.9,sun
8.1,13.3,6.7,5.8,rain
1.8,10.0,4.4,2.0,rain
1.8,13.3,7.2,3.9,rain
10.9,13.9,5.0,2.6,rain
6.6,13.3,6.7,2.7,rain
0.0,20.0,4.4,2.3,sun
0.0,23.3,8.3,2.6,sun
0.0,21.7,8.9,3.5,sun
4.3,13.9,10.0,2.8,rain
10.7,16.7,8.9,2.6,rain
3.8,13.9,6.7,5.2,rain
0.8,13.3,6.1,4.8,rain
0.0,16.1,8.3,2.5,sun
4.3,15.6,8.9,1.6,rain
4.3,12.8,7.2,8.0,rain
0.5,11.7,6.1,6.4,rain
0.5,13.3,5.6,2.5,rain
18.5,11.1,7.2,3.4,rain
1.8,12.2,6.1,4.6,rain
0.0,13.3,5.0,2.3,sun
0.0,17.8,5.0,2.4,sun
0.0,23.9,6.1,2.2,sun
0.0,18.3,9.4,3.0,sun
0.0,13.3,6.7,3.9,sun
0.0,14.4,3.9,3.0,sun
0.0,18.3,4.4,4.3,sun
0.0,24.4,6.7,3.4,sun
0.0,25.6,9.4,4.2,sun
0.0,26.7,12.8,3.8,sun
0.0,24.4,9.4,4.1,sun
0.0,19.4,9.4,3.5,sun
0.0,17.8,6.7,2.9,sun
0.0,15.6,7.8,3.1,sun
0.0,19.4,7.2,1.5,sun
6.4,14.4,11.7,1.3,rain
14.0,16.7,10.0,4.0,rain
6.1,12.8,8.9,4.8,rain
0.3,14.4,8.9,6.3,rain
0.0,17.2,8.9,3.3,sun
0.0,22.2,8.9,3.1,sun
0.0,22.2,8.9,3.6,sun
0.0,17.2,11.7,3.7,sun
0.0,16.7,10.0,3.4,sun
0.0,16.1,7.8,1.8,sun
0.3,18.9,11.1,1.5,rain
3.8,17.8,12.2,2.7,rain
6.6,20.0,12.8,3.7,rain
0.3,18.9,10.6,3.7,rain
0.0,17.2,9.4,2.9,sun
1.3,12.8,8.9,3.1,rain
16.0,13.3,8.3,3.3,rain
0.0,16.1,6.1,3.4,sun
16.5,16.1,8.9,3.5,rain
1.5,15.0,8.3,3.0,rain
0.0,17.2,8.3,4.7,sun
0.0,18.9,10.0,2.9,sun
0.0,23.3,10.0,1.8,sun
0.8,18.3,12.8,3.9,rain
0.0,16.1,11.1,4.3,sun
0.0,17.2,10.0,2.7,sun
0.0,22.2,9.4,1.7,sun
0.0,21.1,15.0,4.1,sun
0.0,18.9,11.7,6.4,sun
3.0,17.2,10.0,3.8,rain
1.0,19.4,10.0,3.0,rain
0.0,24.4,10.0,3.0,sun
0.0,23.9,11.7,2.1,sun
15.7,13.9,11.7,1.9,rain
8.6,15.6,9.4,2.5,rain
0.0,19.4,9.4,2.0,sun
0.5,19.4,11.1,3.1,rain
0.0,18.3,10.6,3.4,sun
0.0,22.8,8.9,1.8,sun
0.0,22.2,11.7,2.5,sun
0.3,21.7,15.0,1.9,rain
3.0,20.0,13.3,2.4,rain
0.0,20.0,12.2,2.3,sun
2.0,18.9,11.7,2.1,rain
5.8,18.3,10.6,6.0,rain
0.0,20.6,9.4,3.8,sun
0.0,24.4,10.6,3.1,sun
0.0,25.0,11.1,2.1,sun
0.0,26.7,12.8,3.8,sun
0.0,28.3,14.4,2.8,sun
1.5,25.0,12.8,2.0,rain
0.0,23.9,11.1,2.3,sun
0.0,27.8,13.3,2.9,sun
0.0,25.6,13.3,2.7,sun
0.5,23.3,13.9,2.2,rain
0.0,25.0,15.0,2.2,sun
0.0,18.9,13.3,3.8,sun
0.3,26.1,13.3,2.5,rain
0.0,21.7,15.0,2.6,sun
0.0,21.1,14.4,2.9,sun
0.0,25.0,14.4,2.2,sun
15.2,19.4,13.9,4.0,rain
0.0,23.9,13.9,2.3,sun
1.0,20.6,12.2,3.9,rain
0.0,18.9,11.1,3.3,sun
0.0,23.3,12.2,4.3,sun
0.0,26.7,12.8,2.6,sun
0.0,25.6,12.8,2.2,sun
0.0,18.9,13.9,2.8,sun
0.0,22.2,13.3,1.7,sun
0.0,22.8,15.0,2.0,sun
0.0,19.4,13.3,3.0,sun
0.0,22.8,13.9,2.8,sun
0.0,23.9,13.3,2.2,sun
0.0,23.3,12.2,2.5,sun
0.0,27.2,12.8,3.9,sun
0.0,33.9,16.7,3.7,sun
0.0,33.9,17.8,1.9,sun
0.0,28.3,15.6,2.5,sun
0.0,21.1,15.0,2.6,sun
0.0,22.2,15.0,3.1,sun
0.0,24.4,14.4,3.8,sun
0.0,25.6,12.2,2.3,sun
0.0,28.3,13.3,2.5,sun
0.0,30.6,15.0,3.0,sun
0.0,30.6,15.0,2.8,sun
0.0,28.9,13.9,2.8,sun
0.0,31.1,16.7,4.7,sun
0.0,34.4,18.3,2.8,sun
0.0,32.8,16.1,1.8,sun
0.0,21.7,14.4,3.0,sun
0.0,23.3,15.0,2.7,sun
0.0,25.6,15.0,1.9,sun
0.0,23.3,13.3,3.0,sun
0.0,22.2,13.3,2.3,sun
0.0,21.1,13.9,3.8,sun
0.0,22.2,10.0,3.3,sun
0.0,26.1,11.7,3.2,sun
0.0,21.1,12.2,3.4,sun
0.0,23.9,13.3,1.8,sun
0.0,22.8,12.2,3.2,sun
0.0,22.8,13.3,2.4,sun
0.0,22.8,12.8,1.9,sun
0.0,22.2,10.6,2.9,sun
0.0,21.7,10.6,2.1,sun
0.0,21.1,10.0,2.0,sun
0.0,22.8,12.8,3.3,sun
0.0,24.4,11.1,3.1,sun
0.0,26.1,11.7,2.6,sun
0.0,28.3,14.4,4.2,sun
